valuationdate,revenues,ebit,depreciation,capex,ncwc,bv,y
30/06/2014,649077.8,222046.6441,43072.0,86023.0,13465.89,385346.44,739153.884
30/06/2012,101771.3,21562.07563,5613.4,4709.4,42053.7,90874.1,276120.7
30/06/2013,679354.1,236109.617,40560.7,89701.0,17218.82,360774.04,829070.9521
30/06/2020,168956.444,80123.299,44761.962,5471.455,151469.736,523421.312,2171672.479
31/12/2017,166188.7,47588.274,8827.226,20869.936,1972.428,47129.21,258925.4527
30/09/2019,16805.72,1729.41,653.794,873.839,2067.968,12499.156,43482.14248
31/12/2010,23739.1,5060.07263,1618.7,1253.7,22916.57796,35607.8,106153.0
30/09/2017,57832.174,6011.609,1690.321,2562.709,11509.754,26502.409,143335.2704
30/09/2012,102278.4,12224.61195,3703.4,3859.1,27478.8,51945.2,158198.5
30/06/2013,11261.713,5725.553295,210.518,200.61,26045.179,65631.93,370430.7697
31/12/2018,34671.49624,4510.761661,1249.3,1934.6,7072.985234,11043.719,38138.64587
30/06/2020,108693.114,18878.661,4616.815,6328.422,3092.299,-15039.647,572604.9449
30/09/2010,27184.9,-3660.59585,256.9,130.7,36177.45582,18323.6,34059.0
31/03/2018,55917.17233,21746.18832,380.6,1928.26,8678.345145,1942.683,241562.1845
30/09/2017,211191.92,36215.975,1261.545,381.451,11926.692,245528.077,305817.125
31/12/2020,128107.179,18149.885,8017.661,4018.106,17725.907,46445.399,379923.0247
31/03/2010,41285.4,24.6109,1571.4,1486.2,11129.8,20148.7,49677.5
31/03/2012,190600.5,15661.5523,6079.6,14025.3,32236.6,53179.8,166231.0
31/03/2015,609411.651,33882.0785,2559.953,14447.511,58699.71,126169.669,683487.678
31/03/2011,180666.0,37234.90637,3862.7,2498.6,9367.2,42900.7,425827.3
31/03/2016,64567.557,8582.975692,4143.1,11375.926,3011.934,15793.14,94914.30879
31/03/2019,13515.476,1714.632,958.509,1055.307,1311.109,4564.273,103215.8078
30/06/2009,6768.8,201.84464,75.0,53.6,994.7,2086.9,2864.2
31/12/2010,874334.5,6751.91236,61167.3,52840.7,252231.5702,158317.9,760364.7
30/06/2012,208660.8,34440.91572,17880.6,33879.4,65389.5,194728.7,417634.6
30/06/2015,418095.7,138458.9444,53063.0,70205.3,15964.79,382301.58,616852.9251
31/12/2011,50120.9,2091.45165,3472.0,1666.6,8975.3,34323.3,61123.1
31/12/2020,19825.38,1145.707,1183.34,1006.002,3504.338,9619.883,34086.78418
31/12/2014,132601.179,25651.3994,435.358,6012.991,16.831,60227.301,437726.9431
31/03/2009,66386.2,6971.65812,1444.2,2803.8,12340.4,20189.0,44055.9
31/12/2016,333763.27,603.4975965,18129.705,36921.311,-8123.374,67269.264,357126.6989
31/03/2009,245808.9,19946.96416,10910.6,5938.9,95906.0,138741.8,341496.6
30/09/2009,66090.2,8019.60919,5094.6,11465.9,8055.1,36638.5,137246.4
30/06/2011,66888.2,6772.21474,3143.2,2911.0,10485.6,23785.0,71149.9
30/06/2016,130484.662,16660.22433,3930.731,3519.722,28519.578,65387.272,289675.9496
31/12/2014,269771.533,73981.10144,6834.442,10301.171,66608.433,252241.173,1272089.932
30/06/2009,269346.7,26329.50264,8621.3,11893.8,65220.1,77926.9,264213.076
30/09/2017,128826.7,16171.96,6743.276,1884.033,-21647.81,158162.0,236406.2378
31/12/2013,210156.527,21390.45509,167.379,17200.772,11995.921,168338.882,854598.7095
30/06/2017,157916.168,65152.522,59261.445,85224.807,-2765.901,214948.432,683565.5601
30/09/2018,58480.25965,11456.28287,4552.93,4496.91,6017.618718,29869.837,152633.4777
30/06/2014,142426.223,11381.20539,592.002,2898.848,13953.148,13749.617,139598.7164
30/09/2015,182110.847,32044.91897,757.317,1522.482,-38405.796,138948.649,256863.2848
30/09/2010,33504.8,5206.83999,2724.7,2652.9,2215.996389,20197.8,75673.5
30/09/2011,27506.2,-429.41066,236.8,141.6,33585.9,16802.0,33899.7
31/03/2010,89235.3,13027.23056,4463.4,5188.2,622.1333733,30115.7,198242.3
